iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag      sat_frac_pq      sat_frac_pn      pAp_double        pAp_naive        cond_pAp          n_eff
  16  2.5028270401e-02  2.5026622535e-02  2.5028282832e-02  2.5028138349e-02  2.5027319111e-02  5.207785e+05  4.306288e-03  0.000000e+00  0.000000e+00  4.3062860318e-03  4.3061230099e-03  7.385360e+13  4960
  17  1.7782815349e-02  1.7784036009e-02  1.7782810626e-02  1.7780440223e-02  1.7784535957e-02  2.269310e+05  3.216184e-02  0.000000e+00  0.000000e+00  -3.2161816635e-02  -3.2160087489e-02  4.859654e+13  4960
  18  2.1642687222e-03  2.1640370680e-03  2.1642699939e-03  2.1643259890e-03  2.1641060973e-03  4.550659e+06  5.514498e-02  0.000000e+00  0.000000e+00  5.5144978465e-02  5.5142838042e-02  4.837553e+12  4960
  19  9.3960253155e-03  9.3960705762e-03  9.3960107565e-03  9.3956886145e-03  9.3962637774e-03  1.125716e+06  3.964874e-05  0.000000e+00  0.000000e+00  -3.9648668778e-05  -3.9646705773e-05  3.387364e+14  4960
  20  1.0473569233e-03  1.0473048939e-03  1.0473573774e-03  1.0473024515e-03  1.0473582458e-03  5.495115e+07  4.294386e-02  0.000000e+00  0.000000e+00  4.2944038706e-02  4.2943077162e-02  8.694819e+12  4960
  21  4.4506115829e-04  4.4500648959e-04  4.4506136485e-04  4.4509233597e-04  4.4501792183e-04  2.841785e+07  7.856180e-05  0.000000e+00  0.000000e+00  7.8561758058e-05  7.8558965470e-05  6.192166e+12  4960
  22  1.1617962818e-03  1.1618003545e-03  1.1617954618e-03  1.1616846853e-03  1.1618893982e-03  4.289388e+07  5.431929e-06  0.000000e+00  0.000000e+00  -5.4319271484e-06  -5.4317229115e-06  3.010351e+13  4960
  23  1.1569906823e-04  1.1570402305e-04  1.1569904870e-04  1.1568874621e-04  1.1571216347e-04  5.026355e+07  2.239359e-04  0.000000e+00  0.000000e+00  2.2393616173e-04  2.2392955725e-04  4.488306e+12  4960
  24  1.7497490915e-04  1.7495900539e-04  1.7497483318e-04  1.7497759453e-04  1.7496277211e-04  1.112647e+08  6.195171e-07  0.000000e+00  0.000000e+00  6.1951658140e-07  6.1949401697e-07  2.169275e+13  4960
  25  1.9885526384e-04  1.9887102011e-04  1.9885510228e-04  1.9882830172e-04  1.9888054161e-04  7.812674e+06  9.566876e-07  0.000000e+00  0.000000e+00  -9.5668948202e-07  -9.5663722277e-07  3.276569e+13  4960
  26  2.4014483925e-05  2.4012521967e-05  2.4014486881e-05  2.4013895112e-05  2.4013043263e-05  2.694212e+06  8.455781e-06  0.000000e+00  0.000000e+00  8.4557878784e-06  8.4554867499e-06  3.912853e+12  4960
  27  1.1426077553e-04  1.1427124880e-04  1.1426072040e-04  1.1425246490e-04  1.1427850813e-04  4.288004e+07  4.411319e-09  0.000000e+00  0.000000e+00  -4.4113212114e-09  -4.4108805497e-09  2.868130e+14  4960
  28  1.3459214412e-05  1.3459020681e-05  1.3459221747e-05  1.3456383864e-05  1.3459435698e-05  7.194003e+06  6.743524e-06  0.000000e+00  0.000000e+00  6.7435291072e-06  6.7437640610e-06  1.571898e+13  4960
  29  5.0983032241e-06  5.0977016253e-06  5.0983044226e-06  5.0982908124e-06  5.0977860178e-06  7.969874e+06  1.217019e-08  0.000000e+00  0.000000e+00  1.2170185705e-08  1.2169390828e-08  8.902702e+12  4960
  30  1.3529839927e-05  1.3531071811e-05  1.3529811261e-05  1.3527250823e-05  1.3532164056e-05  3.634252e+08  7.008616e-10  0.000000e+00  0.000000e+00  -7.0086145046e-10  -7.0082117887e-10  6.574662e+13  4960
  31  1.4762099364e-06  1.4763339289e-06  1.4762094448e-06  1.4760214136e-06  1.4763344429e-06  1.909826e+07  3.470778e-08  0.000000e+00  0.000000e+00  3.4707917173e-08  3.4706019392e-08  1.096177e+13  4960
  32  1.8200326509e-06  1.8198800924e-06  1.8200321226e-06  1.8199215564e-06  1.8198981437e-06  5.330890e+06  1.309644e-10  0.000000e+00  0.000000e+00  1.3096436863e-10  1.3095324825e-10  3.554298e+13  4960
  33  2.2480987276e-06  2.2484034654e-06  2.2480946370e-06  2.2478013941e-06  2.2485581530e-06  3.929825e+06  9.212997e-11  0.000000e+00  0.000000e+00  -9.2130065704e-11  -9.2125307383e-11  5.932403e+13  4960
  34  2.4553566471e-07  2.4551923754e-07  2.4553556224e-07  2.4535445328e-07  2.4552285308e-07  4.854106e+06  1.042673e-09  0.000000e+00  0.000000e+00  1.0426744874e-09  1.0427063657e-09  6.858906e+12  4960
  35  1.1251407309e-06  1.1252028849e-06  1.1251455997e-06  1.1243651899e-06  1.1252094371e-06  1.828254e+07  5.658633e-13  0.000000e+00  0.000000e+00  5.6586599546e-13  5.6571414220e-13  5.013381e+14  4960
  36  3.0203979140e-07  3.0203435312e-07  3.0204013018e-07  3.0175426303e-07  3.0204396654e-07  4.454609e+07  4.239651e-10  0.000000e+00  0.000000e+00  -4.2396007756e-10  -4.2354031393e-10  3.819747e+13  4960
  37  5.1610778670e-08  5.1615782803e-08  5.1610734323e-08  5.1545570556e-08  5.1619673960e-08  1.764702e+07  8.608475e-12  0.000000e+00  0.000000e+00  8.6084489230e-12  8.6004814381e-12  7.864365e+12  4960
  38  1.9017739407e-07  1.9027105000e-07  1.9017575048e-07  1.8973169006e-07  1.9037867989e-07  1.165538e+07  5.154948e-14  0.000000e+00  0.000000e+00  -5.1549195511e-14  -5.1475750745e-14  1.345525e+14  4960
  39  2.3078919030e-08  2.3083166746e-08  2.3078731979e-08  2.2989004958e-08  2.3084698705e-08  4.643288e+06  7.548018e-12  0.000000e+00  0.000000e+00  7.5480970039e-12  7.5312811543e-12  2.506891e+13  4960
  40  1.7809434578e-08  1.7808299039e-08  1.7809451684e-08  1.7754004523e-08  1.7808724880e-08  7.826346e+07  3.773848e-14  0.000000e+00  0.000000e+00  3.7738830753e-14  3.7560232702e-14  2.367709e+13  4960
  41  3.4423899191e-08  3.4451703097e-08  3.4423914209e-08  3.4344690326e-08  3.4473568566e-08  1.178890e+07  5.718841e-15  0.000000e+00  0.000000e+00  -5.7188393711e-15  -5.7017650150e-15  1.339254e+14  4960
  42  3.6857025686e-09  3.6853757798e-09  3.6857447562e-09  3.6512260347e-09  3.6855070804e-09  9.838224e+06  3.094348e-13  0.000000e+00  0.000000e+00  3.0943566500e-13  3.0883802460e-13  3.378899e+13  4960
  43  1.7139293235e-08  1.7140053672e-08  1.7138968751e-08  1.7148257469e-08  1.7137605745e-08  2.915743e+07  1.199534e-16  0.000000e+00  0.000000e+00  1.1995383757e-16  1.1907250359e-16  2.984944e+15  4960
  44  4.2998580892e-09  4.2993953072e-09  4.2998878093e-09  4.2880521474e-09  4.2995671122e-09  4.160516e+07  9.565222e-14  0.000000e+00  0.000000e+00  -9.5656515557e-14  -9.5889875901e-14  5.881683e+14  4960
  45  7.0148867327e-10  7.0153305790e-10  7.0151702927e-10  7.0392774781e-10  7.0158688931e-10  2.140901e+08  1.688753e-15  0.000000e+00  0.000000e+00  1.6886990255e-15  1.6964782443e-15  2.244122e+14  4960
  46  2.5373088216e-09  2.5382555124e-09  2.5373800330e-09  2.5639467045e-09  2.5396839554e-09  1.533369e+07  9.186072e-18  0.000000e+00  0.000000e+00  -9.1860209585e-18  -9.2555290146e-18  4.902840e+15  4960
  47  3.1805930476e-10  3.1810890579e-10  3.1804757938e-10  3.1138208471e-10  3.1813590314e-10  2.915412e+08  1.375961e-15  0.000000e+00  0.000000e+00  1.3758445923e-15  1.4727260210e-15  9.718288e+13  4960
  48  2.1983157971e-10  2.1980816471e-10  2.1984953389e-10  2.1782350639e-10  2.1981510299e-10  5.929124e+08  7.520806e-18  0.000000e+00  0.000000e+00  7.5201383617e-18  7.5123352092e-18  6.236781e+13  4960
  49  3.3000622298e-10  3.3013692653e-10  3.2999495948e-10  3.9023152365e-10  3.3024539199e-10  3.145085e+07  1.156094e-18  0.000000e+00  0.000000e+00  -1.1559966264e-18  -1.0958488755e-18  1.324565e+14  4960
  50  3.6136983450e-11  3.6134107140e-11  3.6140257155e-11  3.5212834851e-11  3.6136655569e-11  8.213026e+06  2.679419e-17  0.000000e+00  0.000000e+00  2.6793395011e-17  4.2517665820e-17  1.865458e+13  4960
