iter  res_double64      res_float32      res_posit32q      res_posit32n      res_float32fma      pAp_dynrange      pAp_mag
  21  1.1697196044e+03  1.1697053048e+03  1.1697199451e+03  1.1697084038e+03  1.1697052513e+03  3.979225e+07  1.545829e+00
  22  7.8309417371e+02  7.8308480543e+02  7.8309434298e+02  7.8308787821e+02  7.8308133358e+02  7.339301e+07  1.000264e+00
  23  6.4958877453e+02  6.4958306340e+02  6.4958907684e+02  6.4958515608e+02  6.4959015925e+02  3.519381e+06  9.531933e-01
  24  8.8072011071e+02  8.8070461847e+02  8.8072001794e+02  8.8071611487e+02  8.8070188628e+02  1.689086e+07  6.595256e-01
  25  6.4455277527e+02  6.4454152795e+02  6.4455255798e+02  6.4454935808e+02  6.4453944313e+02  2.768669e+07  6.252747e-01
  26  4.8814577910e+02  4.8812586428e+02  4.8814484595e+02  4.8814361360e+02  4.8810393681e+02  3.575928e+07  2.614271e-01
  27  3.7670817725e+02  3.7670296654e+02  3.7670833794e+02  3.7670518562e+02  3.7670445976e+02  1.415432e+07  1.899928e-01
  28  3.3224285373e+02  3.3223127063e+02  3.3224208747e+02  3.3224102932e+02  3.3223492724e+02  7.314431e+06  1.029760e-01
  29  4.4684003495e+02  4.4688552435e+02  4.4684228901e+02  4.4683755088e+02  4.4702644287e+02  2.440673e+07  9.678376e-02
  30  4.1851774675e+02  4.1849594905e+02  4.1851681941e+02  4.1851555004e+02  4.1845491469e+02  2.716979e+07  1.290142e-01
  31  3.6293105676e+02  3.6290072678e+02  3.6293090768e+02  3.6292847522e+02  3.6277007181e+02  1.086431e+08  1.205851e-01
  32  2.6402133826e+02  2.6391820762e+02  2.6401111186e+02  2.6402140952e+02  2.6411764957e+02  4.884954e+07  8.894714e-02
  33  3.2721768660e+02  3.2737612161e+02  3.2721207525e+02  3.2721726823e+02  3.2884694388e+02  1.579706e+08  6.797902e-02
  34  3.6986443684e+02  3.6984118213e+02  3.6984952599e+02  3.6986426987e+02  3.7061427050e+02  5.953069e+06  6.595392e-02
  35  3.4487764218e+02  3.5033408163e+02  3.4494279417e+02  3.4486874768e+02  3.7048903493e+02  6.107878e+06  9.081888e-02
  36  2.8626626387e+02  3.4070155103e+02  2.8670723580e+02  2.8624037921e+02  4.2759023171e+02  7.613254e+07  9.381026e-02
  37  3.0834790337e+02  4.4763651898e+02  3.1013895575e+02  3.0831829637e+02  4.4626517831e+02  5.968420e+07  1.307517e-01
  38  4.3348152857e+02  4.1348295763e+02  4.3624292616e+02  4.3348257246e+02  3.1511562858e+02  1.437229e+07  1.340190e-01
  39  4.7708783281e+02  3.6693779275e+02  4.7634196947e+02  4.7714109548e+02  3.4832091659e+02  6.510326e+07  1.625936e-01
  40  3.4929500925e+02  3.5869081611e+02  3.5260581302e+02  3.4971247118e+02  3.5809068335e+02  8.942906e+06  1.661624e-01
  41  3.4414861301e+02  4.8625438623e+02  3.9079384351e+02  3.4631891237e+02  4.8667590602e+02  1.582904e+08  1.723744e-01
  42  4.7708622205e+02  3.6154122128e+02  4.6676916471e+02  4.7779403578e+02  3.5999666882e+02  7.372174e+06  1.606868e-01
  43  4.4159465951e+02  3.8479533927e+02  4.1069702565e+02  4.3959198056e+02  3.8455989455e+02  2.966907e+08  1.641495e-01
  44  3.9996326742e+02  4.5940005034e+02  4.5687539330e+02  4.1217894703e+02  4.5936464274e+02  7.135808e+07  1.229996e-01
  45  3.6574941985e+02  4.1871210649e+02  4.2113442406e+02  4.1257908333e+02  4.1870081801e+02  9.711573e+06  1.374405e-01
  46  3.6493660957e+02  3.8880801416e+02  3.8935124326e+02  4.0826729908e+02  3.8883286898e+02  3.875286e+09  1.255828e-01
  47  3.8744041385e+02  3.4523721464e+02  3.4558740754e+02  3.6303641346e+02  3.4524839337e+02  1.049617e+07  1.194770e-01
  48  3.0224629753e+02  3.2931452244e+02  3.2923338986e+02  3.3101627367e+02  3.2932127171e+02  2.986448e+07  1.065509e-01
  49  3.1280792047e+02  3.2508935070e+02  3.2524421113e+02  3.2685027392e+02  3.2508206896e+02  1.325829e+08  7.670711e-02
  50  2.9294743922e+02  3.3850454668e+02  3.3858449601e+02  3.3959393261e+02  3.3850148864e+02  3.418868e+07  8.980653e-02
  51  4.1172747391e+02  2.7817083892e+02  2.7823146839e+02  2.7859659456e+02  2.7816398603e+02  7.663494e+06  8.391537e-02
  52  3.2331868608e+02  2.9938915676e+02  2.9939501499e+02  2.9939149224e+02  2.9939511937e+02  6.099715e+06  6.560182e-02
  53  3.1886221577e+02  3.4015338911e+02  3.4016138174e+02  3.4015506574e+02  3.4015599592e+02  1.056244e+07  6.896951e-02
  54  2.6570317024e+02  3.6229800407e+02  3.6228847277e+02  3.6231115771e+02  3.6232914077e+02  2.894765e+07  5.425232e-02
  55  3.3209950131e+02  3.0971329988e+02  3.0972231767e+02  3.0972769038e+02  3.0960979727e+02  3.165858e+07  6.224738e-02
  56  3.3732604871e+02  2.6097832764e+02  2.6098786191e+02  2.6098280295e+02  2.6117457045e+02  4.993132e+07  4.834932e-02
  57  3.2520841053e+02  2.9069606658e+02  2.9068840706e+02  2.9068266901e+02  2.9163712202e+02  1.256812e+06  5.319298e-02
  58  2.4011771922e+02  3.0806230346e+02  3.0799608104e+02  3.0799249179e+02  3.0971872320e+02  1.025947e+07  4.680783e-02
  59  2.1310856591e+02  2.8623811384e+02  2.8656587375e+02  2.8656490593e+02  2.8191650193e+02  2.256474e+07  4.307244e-02
  60  2.2470795916e+02  2.3025457209e+02  2.3032170521e+02  2.3032192993e+02  2.2939988795e+02  6.188740e+07  2.985036e-02
  61  2.2993960129e+02  2.4207776546e+02  2.3683659402e+02  2.3683781453e+02  2.6584449755e+02  7.312265e+06  2.907649e-02
  62  1.8458112948e+02  2.7074686921e+02  2.4932454455e+02  2.4932551592e+02  2.7916994712e+02  8.796728e+06  2.545595e-02
  63  2.2561174776e+02  2.6844625277e+02  1.8637783993e+02  1.8638379737e+02  2.5555678338e+02  9.134274e+06  2.200498e-02
  64  2.0010164883e+02  2.4217220919e+02  2.1170502954e+02  2.1170264468e+02  2.2773215318e+02  7.627772e+06  2.068285e-02
  65  1.9254730983e+02  1.9652007690e+02  2.1121619090e+02  2.1126863361e+02  1.9428923952e+02  3.427166e+07  2.419993e-02
  66  2.0532668732e+02  2.0249649881e+02  1.8985793414e+02  1.8977023525e+02  2.0236223130e+02  2.899036e+07  2.414786e-02
  67  2.5822492878e+02  1.9866711125e+02  1.8561955484e+02  1.8559169524e+02  1.9853096224e+02  3.995235e+07  2.392142e-02
  68  2.1835636938e+02  2.0993477410e+02  1.9077650741e+02  1.8815179938e+02  2.0983884255e+02  1.020560e+08  2.483738e-02
  69  1.9487952908e+02  1.7843451727e+02  2.0824346760e+02  2.0285440630e+02  1.7690678822e+02  3.212417e+08  2.605893e-02
  70  1.5769590452e+02  1.7123682089e+02  1.9538481161e+02  1.8899339646e+02  1.6681915030e+02  6.649770e+07  3.174517e-02
  71  1.6834149676e+02  1.9374665320e+02  2.0287034518e+02  2.1466260773e+02  1.8343493397e+02  3.947060e+07  2.294573e-02
  72  1.4305426968e+02  2.0286124222e+02  1.6847796070e+02  1.7574250128e+02  1.9441903641e+02  1.066631e+07  2.596571e-02
  73  1.5598985168e+02  2.2063382596e+02  1.4281989177e+02  1.5060878090e+02  2.1821545402e+02  1.626139e+07  1.460951e-02
  74  1.5820466839e+02  1.9040876055e+02  1.5597255368e+02  1.8307898313e+02  2.0592780706e+02  1.465149e+07  1.405498e-02
  75  1.8026484096e+02  1.6717404151e+02  1.8614703005e+02  2.3459256985e+02  1.7268028962e+02  1.742966e+07  1.457749e-02
  76  2.0211342004e+02  1.7647879653e+02  2.0279016152e+02  2.2629501883e+02  1.7894470929e+02  8.003456e+08  1.547843e-02
  77  1.7372516391e+02  1.6941159084e+02  2.3806835776e+02  1.8808904868e+02  1.7003599113e+02  1.111694e+08  1.798160e-02
  78  1.8977305664e+02  1.5294829728e+02  1.8644114039e+02  1.5509017034e+02  1.5401426730e+02  1.021137e+08  1.818434e-02
  79  1.7190733160e+02  1.8663365477e+02  1.8988796039e+02  1.8291011283e+02  1.8869207513e+02  3.794075e+07  1.437614e-02
  80  1.8200840368e+02  1.9403865594e+02  1.8176950871e+02  1.7911768892e+02  1.9970094830e+02  6.962976e+06  1.027122e-02
  81  1.8398883127e+02  2.1930471631e+02  1.8747992601e+02  1.8656236914e+02  2.1921771427e+02  2.758239e+08  1.474241e-02
  82  1.8209896712e+02  1.8795369069e+02  1.9855948023e+02  1.9746131939e+02  1.8480380221e+02  4.582765e+07  1.910178e-02
  83  1.6168695258e+02  1.8416725584e+02  1.8090515687e+02  1.7991289939e+02  1.9875488398e+02  1.703213e+07  1.757033e-02
  84  1.4301639381e+02  1.5737815227e+02  1.5644976605e+02  1.5398521134e+02  1.7444487287e+02  3.069088e+08  1.724720e-02
  85  1.6106465152e+02  1.6745472802e+02  1.4934099705e+02  1.4498619614e+02  1.5925565384e+02  4.760017e+07  1.163155e-02
  86  1.3493698608e+02  1.6479973050e+02  1.7789500777e+02  1.7655587377e+02  1.4427805187e+02  9.279802e+06  1.352883e-02
  87  1.4807927358e+02  1.6896090409e+02  1.5125802858e+02  1.5386316021e+02  1.6585226153e+02  1.152042e+07  1.418421e-02
  88  1.2124008747e+02  1.5488962174e+02  1.5419110695e+02  1.5612675452e+02  1.4999313786e+02  2.496460e+07  1.121565e-02
  89  1.2306677194e+02  1.6205792030e+02  1.2859377658e+02  1.2989755203e+02  1.5662450120e+02  2.456620e+07  9.905974e-03
  90  1.1584803882e+02  1.4258239120e+02  1.4930272179e+02  1.5154499899e+02  1.3491919601e+02  1.147618e+07  1.055021e-02
  91  1.0613242652e+02  1.6283467939e+02  1.4257266856e+02  1.4616205622e+02  1.4738015523e+02  1.058354e+08  1.229399e-02
  92  1.0557662084e+02  1.7783942569e+02  1.2741522151e+02  1.3624115510e+02  1.7260384669e+02  1.498901e+07  1.160244e-02
  93  1.0393043153e+02  1.3848852051e+02  1.1794534743e+02  1.2783373907e+02  1.4741053298e+02  6.802504e+06  1.340648e-02
  94  1.2562097087e+02  1.3060111923e+02  1.2495887214e+02  1.3967406954e+02  1.4087145764e+02  2.444878e+07  1.018946e-02
  95  1.6943653312e+02  1.2607529295e+02  1.3691878580e+02  1.3295783959e+02  1.3259764238e+02  1.740619e+07  1.018745e-02
  96  1.7032592673e+02  1.2208440744e+02  1.6807677631e+02  1.1225189221e+02  1.2323086344e+02  2.758821e+08  1.113649e-02
  97  1.2389599063e+02  1.2686224151e+02  1.4263757408e+02  1.1024702155e+02  1.2505946242e+02  1.894074e+07  1.558136e-02
  98  9.3672153976e+01  1.2516887421e+02  1.1540448567e+02  1.2503389970e+02  1.1884275572e+02  7.098697e+06  1.232105e-02
  99  8.3859939533e+01  1.1806791776e+02  1.3272159021e+02  1.5153747216e+02  1.1046624378e+02  1.835950e+08  1.188822e-02
 100  8.1792963884e+01  1.3303344857e+02  1.3901768590e+02  1.3846666242e+02  1.3290540133e+02  2.889622e+08  1.519540e-02
 101  8.4814295894e+01  1.1926496074e+02  1.2096217449e+02  1.2317635747e+02  1.3323249768e+02  5.206347e+07  1.270172e-02
 102  8.0401593813e+01  1.0325153222e+02  9.1369811113e+01  1.2161109850e+02  1.1257645839e+02  3.089936e+06  1.067506e-02
 103  6.8926967353e+01  9.1990923890e+01  1.1284066260e+02  1.5157632347e+02  9.6817336669e+01  3.426908e+06  9.779458e-03
 104  1.0185624056e+02  8.7650300600e+01  1.3365605638e+02  1.2024628657e+02  9.4779508721e+01  2.982602e+07  1.324257e-02
 105  1.1784172726e+02  8.8690982248e+01  1.1868078781e+02  8.9417015092e+01  1.1348603042e+02  1.901463e+09  1.508145e-02
 106  8.5101138971e+01  1.0824712666e+02  9.1422960545e+01  8.5523862487e+01  1.2877780343e+02  4.616906e+06  1.294205e-02
 107  6.7423037527e+01  1.1357996392e+02  8.0795627045e+01  9.4016031400e+01  1.0088183934e+02  2.538085e+08  9.445393e-03
 108  5.8119636598e+01  8.4159638346e+01  6.3439251534e+01  9.9079804285e+01  8.8906755271e+01  2.476761e+09  7.918208e-03
 109  5.4072045272e+01  8.3912339746e+01  8.0777284719e+01  1.0231287225e+02  9.8207862107e+01  3.062120e+07  7.121771e-03
 110  6.5164623445e+01  9.7621123683e+01  1.0999588060e+02  8.3158485678e+01  9.3611757450e+01  6.979850e+08  7.907833e-03
 111  1.0756475127e+02  1.0784647110e+02  9.1414561588e+01  6.3921590935e+01  9.3993319660e+01  2.688652e+08  1.064269e-02
 112  8.5521054124e+01  8.2349140004e+01  8.1098021925e+01  8.1312150208e+01  6.9964388263e+01  6.753754e+06  8.883520e-03
 113  7.2773406128e+01  8.6494112200e+01  5.6931288681e+01  7.6865160702e+01  8.8963330205e+01  5.069066e+06  6.329451e-03
 114  9.6419257325e+01  8.7501060261e+01  7.1692182579e+01  7.9602032905e+01  8.3281666275e+01  4.065935e+07  5.276599e-03
 115  1.0080403127e+02  7.7904585948e+01  8.0949513467e+01  7.1575092710e+01  7.1619058572e+01  7.288747e+07  6.755404e-03
 116  6.3570248271e+01  7.4300090296e+01  8.9612858204e+01  6.4643852273e+01  7.2406688335e+01  5.515259e+09  7.846923e-03
 117  5.1973598050e+01  7.9851290006e+01  6.4023238731e+01  5.5644187241e+01  8.1449059042e+01  3.072166e+07  7.870464e-03
 118  4.3660656886e+01  9.0677506341e+01  5.9751627752e+01  6.8224921345e+01  9.6183367764e+01  2.228256e+08  5.826629e-03
 119  6.1024692144e+01  8.5278776531e+01  7.5983478557e+01  8.5686063992e+01  8.7792610626e+01  1.207256e+08  5.563792e-03
 120  7.8153675004e+01  4.8961841907e+01  6.6571652466e+01  6.2015819377e+01  5.0225803604e+01  9.425821e+08  6.840572e-03
 121  7.1741963767e+01  4.4586150369e+01  4.5242730163e+01  4.0290601262e+01  4.5888268155e+01  2.934489e+07  4.154109e-03
 122  4.7194906537e+01  4.2096867345e+01  4.0937017680e+01  4.0041165722e+01  5.0276454965e+01  5.120551e+06  2.610517e-03
 123  5.0397635545e+01  5.7577056469e+01  4.2847338058e+01  4.2551655692e+01  7.0552520884e+01  9.817377e+08  1.934251e-03
 124  5.6355103404e+01  7.2344181964e+01  4.1455328741e+01  4.3266517969e+01  7.2102476309e+01  6.448450e+07  2.262447e-03
 125  7.8639376630e+01  5.3101823989e+01  6.3069631697e+01  6.4290214570e+01  5.1037337455e+01  3.264164e+07  2.644616e-03
 126  5.7007240295e+01  5.3510008829e+01  6.9233710291e+01  6.7281836026e+01  5.5925195050e+01  8.347669e+06  3.510818e-03
 127  5.3435696239e+01  5.4892401854e+01  5.6080284878e+01  5.6522111465e+01  6.5364172890e+01  5.515887e+07  4.135474e-03
 128  4.5634996846e+01  7.6980491644e+01  5.3957552015e+01  5.6883728297e+01  7.3698995870e+01  2.209189e+07  2.535757e-03
 129  5.1149974778e+01  7.2759063680e+01  6.5988764876e+01  6.7321802543e+01  5.1839365585e+01  2.017614e+07  3.059944e-03
 130  5.5135109704e+01  5.6315435030e+01  5.6247788585e+01  5.4082118008e+01  4.7109670397e+01  2.476499e+07  3.124126e-03
 131  5.6850458841e+01  4.9854321469e+01  4.8530784040e+01  4.8635466168e+01  4.3269256010e+01  1.079686e+08  2.733412e-03
 132  5.1101791435e+01  6.0351317253e+01  3.7587715610e+01  4.3761401974e+01  6.0459491378e+01  1.246366e+08  1.689657e-03
 133  3.5718490280e+01  4.7014137252e+01  4.8574798480e+01  6.2514015030e+01  5.6699131421e+01  4.624140e+08  1.485118e-03
 134  3.9340195503e+01  4.9715933787e+01  4.8032526440e+01  5.7360463547e+01  4.7993690076e+01  1.327734e+07  1.910929e-03
 135  3.5421725017e+01  3.5997733151e+01  5.9423851717e+01  5.9740650930e+01  3.3223945678e+01  9.966340e+07  1.885128e-03
 136  4.1238276696e+01  5.6617697946e+01  5.0505262044e+01  5.7877507792e+01  5.1130090288e+01  6.020085e+06  1.858423e-03
 137  4.9170856485e+01  5.7010475668e+01  6.1343002276e+01  5.9181298967e+01  5.0450601420e+01  3.502451e+09  1.861283e-03
 138  5.0534159262e+01  4.6817743677e+01  5.8681674136e+01  4.1479767061e+01  5.5504238207e+01  8.890573e+07  2.019857e-03
 139  3.6517808036e+01  3.3369756508e+01  5.5658350036e+01  4.4615472712e+01  4.8253546866e+01  2.552250e+07  1.896821e-03
 140  3.3673466104e+01  3.6390086608e+01  3.8729595891e+01  3.5604214571e+01  4.1619279531e+01  1.265102e+08  1.713380e-03
 141  2.8105458353e+01  4.3487263536e+01  3.7470952291e+01  3.7188467113e+01  4.5137702993e+01  5.315934e+07  9.914133e-04
 142  3.2149487114e+01  4.1013604117e+01  3.4040150441e+01  3.3598662886e+01  3.7953245613e+01  1.885065e+07  1.052212e-03
 143  2.8275693759e+01  4.6380019418e+01  3.7626539433e+01  3.7050469284e+01  4.1548972775e+01  2.285579e+07  9.324919e-04
 144  2.5904936270e+01  4.7212377031e+01  4.1511139995e+01  3.6665907372e+01  5.1843507478e+01  5.809342e+07  9.208593e-04
 145  3.2205976371e+01  4.1878502361e+01  4.6312009739e+01  4.2545232421e+01  4.3746188450e+01  1.295887e+09  1.101861e-03
 146  2.8645786981e+01  3.7865376575e+01  4.2042659711e+01  4.2726369294e+01  3.8229810784e+01  1.475665e+08  1.173254e-03
 147  2.7392195275e+01  4.0706159916e+01  3.3679340457e+01  3.5790299756e+01  4.1474753180e+01  1.716225e+07  1.098958e-03
 148  2.2958941505e+01  3.7486797806e+01  3.3419210006e+01  3.2861062464e+01  4.2026193353e+01  6.921559e+07  9.203861e-04
 149  2.3141435125e+01  3.0999681040e+01  3.5754547043e+01  3.4058293354e+01  3.6728012462e+01  1.461049e+07  8.509773e-04
 150  1.7528629992e+01  2.9785131404e+01  2.8481569186e+01  3.0301985531e+01  3.1239803024e+01  2.587802e+07  7.486657e-04
 151  1.5409350603e+01  3.5995540767e+01  2.3902596547e+01  2.7386033713e+01  2.9468425858e+01  3.303494e+07  6.306808e-04
 152  1.8841116139e+01  3.7244361399e+01  2.3643882673e+01  2.8902699845e+01  2.6759688575e+01  9.064421e+08  5.424976e-04
 153  1.3478905469e+01  2.9946362165e+01  2.0541928654e+01  2.8508467638e+01  2.4962532960e+01  1.393419e+07  3.983489e-04
 154  1.5616555921e+01  2.2203252826e+01  2.6375469186e+01  2.1237724079e+01  1.9788083986e+01  2.695269e+07  4.660492e-04
 155  1.9294933539e+01  2.3749863795e+01  1.9260629667e+01  2.1966011148e+01  2.3759280670e+01  9.336290e+07  5.681418e-04
 156  1.8593200863e+01  2.5506904415e+01  2.0438721040e+01  2.8950436298e+01  2.1557269095e+01  2.259451e+07  3.224715e-04
 157  1.4018241849e+01  2.6600929233e+01  1.2157228328e+01  2.6153389869e+01  2.0478873928e+01  1.667846e+07  2.191600e-04
 158  1.3420997996e+01  1.7937037233e+01  1.4138521390e+01  1.9004825381e+01  1.3490786764e+01  2.039094e+08  2.173620e-04
 159  1.7047025408e+01  1.7907402920e+01  2.0405240698e+01  1.6365055938e+01  1.7413022379e+01  5.498287e+06  1.957994e-04
 160  1.8711097943e+01  2.0936938833e+01  1.9625992865e+01  1.7332518314e+01  2.1983685079e+01  1.947376e+07  2.650900e-04
 161  1.4091919079e+01  2.0539035755e+01  1.9027217645e+01  1.9636648621e+01  2.0056487612e+01  6.663725e+07  2.545854e-04
 162  1.0022246618e+01  1.7013979381e+01  1.8204181794e+01  1.9633336332e+01  1.4984974775e+01  1.696994e+07  2.148783e-04
 163  1.1068836165e+01  1.8098911215e+01  1.5792821770e+01  1.5331910765e+01  1.6568986421e+01  2.771764e+08  2.609881e-04
 164  1.0388204654e+01  1.5047826180e+01  1.1640110737e+01  1.5474984440e+01  1.8784462145e+01  9.411440e+06  1.785820e-04
 165  1.2514345759e+01  1.4359724072e+01  1.2612016101e+01  1.2888164642e+01  1.7542551678e+01  6.717542e+07  1.475724e-04
 166  1.5528179778e+01  1.5765771145e+01  1.2380711480e+01  1.3525914010e+01  1.3660633213e+01  5.445072e+06  1.365281e-04
 167  1.5852759044e+01  1.6202010908e+01  1.4513865583e+01  1.4647116737e+01  1.5393768516e+01  1.387094e+08  1.360615e-04
 168  1.3846246598e+01  9.9997394528e+00  1.1778584874e+01  1.6139503994e+01  1.4675664800e+01  1.025430e+07  1.781831e-04
 169  1.4246823024e+01  9.9898324776e+00  1.1494929730e+01  1.3540264061e+01  1.1029624581e+01  2.276815e+07  1.226931e-04
 170  1.3089457427e+01  1.4366817368e+01  1.1122932113e+01  9.7521654316e+00  1.0542086587e+01  4.947482e+06  1.274597e-04
 171  8.3469375625e+00  1.6227488727e+01  1.2751630417e+01  6.7234816812e+00  1.2388285586e+01  6.084531e+07  1.209325e-04
 172  9.0672374306e+00  1.1720393765e+01  8.9520006789e+00  6.9572207614e+00  1.4305978147e+01  1.127965e+07  1.329088e-04
 173  7.0119959441e+00  8.2767685766e+00  8.2693336402e+00  8.4936893823e+00  1.0557360962e+01  8.067095e+07  1.071357e-04
 174  9.1541588966e+00  6.0833911980e+00  7.1536259067e+00  8.7373371595e+00  6.8074518101e+00  9.436181e+06  7.191496e-05
 175  1.1883373980e+01  4.4891251450e+00  7.7975006770e+00  9.0317944953e+00  6.0221688484e+00  5.746156e+07  6.357312e-05
 176  9.1040800561e+00  6.6334951384e+00  8.7378826707e+00  7.0595088465e+00  9.3609701335e+00  7.550640e+06  7.032250e-05
 177  8.6863961178e+00  8.1206874260e+00  5.9415597388e+00  6.3937456864e+00  9.2127036746e+00  2.428620e+07  6.114833e-05
 178  4.7681825157e+00  7.8199795739e+00  4.6157153214e+00  7.8004595939e+00  7.5378829429e+00  1.477100e+07  3.842553e-05
 179  5.6963082352e+00  5.9630067366e+00  4.3009718351e+00  6.2584576411e+00  5.2731938963e+00  2.246093e+07  3.486917e-05
 180  5.8082925498e+00  4.6864405134e+00  6.2070348990e+00  5.5569743024e+00  4.6175807521e+00  5.159124e+07  2.912261e-05
 181  4.3082624201e+00  6.3547595472e+00  6.6843365469e+00  5.8981373692e+00  7.2507947289e+00  6.414670e+07  3.882324e-05
 182  3.9388989583e+00  5.5358109286e+00  6.6465844554e+00  6.1717135638e+00  6.4170607739e+00  1.604441e+07  4.070888e-05
 183  5.0476439556e+00  4.9572536458e+00  4.7880695054e+00  4.6001730928e+00  5.5444132755e+00  4.799524e+06  4.066326e-05
 184  4.1233434586e+00  3.9438801498e+00  6.1107414649e+00  5.4771071964e+00  5.4026452544e+00  6.951673e+06  2.324535e-05
 185  4.3123113542e+00  5.2488089527e+00  4.2940994731e+00  4.4727590757e+00  6.0994899224e+00  6.727097e+06  2.774806e-05
 186  2.4189223981e+00  4.5837590569e+00  4.5658468225e+00  6.6576875379e+00  3.9383060902e+00  2.240477e+07  1.712865e-05
 187  3.1832631591e+00  4.7666098656e+00  5.1682003831e+00  4.7946183305e+00  4.8860670794e+00  1.095570e+07  1.585611e-05
 188  2.7220238558e+00  4.1878746207e+00  4.3458994480e+00  4.4839737610e+00  3.6908856383e+00  9.674397e+08  1.675006e-05
 189  2.2040716511e+00  4.3879436301e+00  4.8416329710e+00  4.7021448121e+00  4.4211041213e+00  4.468057e+07  1.214409e-05
 190  3.2904934390e+00  4.2761804122e+00  3.3266520845e+00  3.9523153343e+00  3.3272361464e+00  3.598277e+07  8.100197e-06
 191  1.9197230653e+00  3.6772673275e+00  4.8190458046e+00  4.5126458343e+00  3.6689411536e+00  7.914840e+07  9.359339e-06
 192  2.2776803692e+00  4.5696250985e+00  5.0377591836e+00  3.3482882728e+00  4.4806068885e+00  2.344943e+08  1.209697e-05
 193  3.1976205347e+00  3.3295719064e+00  4.5702065480e+00  4.7183915564e+00  3.6185909045e+00  7.589309e+07  1.316620e-05
 194  3.0559809451e+00  4.5793338781e+00  3.8255521575e+00  3.7851523526e+00  4.6814959921e+00  3.410566e+07  9.167969e-06
 195  3.3132316516e+00  3.4668652337e+00  2.8558620386e+00  3.2451185100e+00  3.3869137471e+00  1.023197e+07  7.301249e-06
 196  2.1581393438e+00  3.5412862835e+00  4.0296068909e+00  3.5679685549e+00  3.6016877457e+00  3.273767e+06  8.491569e-06
 197  2.4709682668e+00  3.7038282539e+00  2.3502523695e+00  2.0200811113e+00  3.4414554380e+00  6.142546e+08  8.046612e-06
 198  2.9064767377e+00  2.8111725112e+00  2.6200719795e+00  3.1689237573e+00  2.7737088783e+00  2.538093e+07  6.140759e-06
 199  2.1733433958e+00  3.2087418597e+00  2.6444940607e+00  3.0279851222e+00  3.2393989797e+00  3.162237e+06  5.755699e-06
 200  1.6219765189e+00  1.9596371538e+00  2.6350211323e+00  2.8171996535e+00  2.0874921741e+00  2.520797e+07  5.590325e-06
