=== bcsstk01 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
1	-1.736e-07	-2.262e-07	5.260e-08	5.118e-08
2	-4.381e-08	7.526e-08	-1.191e-07	-1.133e-07
3	7.504e-08	-1.262e-07	2.012e-07	2.012e-07
4	2.635e-08	-1.126e-07	1.389e-07	1.403e-07
5	6.738e-08	4.204e-08	2.533e-08	2.298e-08
6	1.040e-07	7.706e-08	2.691e-08	2.721e-08
7	2.388e-08	-1.014e-08	3.402e-08	3.369e-08
8	1.891e-08	6.537e-08	-4.646e-08	-4.499e-08
9	-1.349e-07	-8.065e-09	-1.269e-07	-1.361e-07
10	7.270e-08	-1.719e-07	2.446e-07	2.449e-07
11	-1.443e-07	-7.852e-08	-6.575e-08	-6.451e-08
12	3.338e-08	1.084e-07	-7.499e-08	-7.555e-08
13	-1.614e-07	-3.480e-07	1.867e-07	1.872e-07
14	-6.635e-08	4.367e-08	-1.100e-07	-1.105e-07
15	1.611e-07	3.840e-08	1.227e-07	1.232e-07
16	4.702e-08	-4.756e-08	9.457e-08	1.018e-07
17	1.661e-07	2.552e-08	1.406e-07	1.461e-07
18	-1.521e-07	1.277e-07	-2.798e-07	-2.818e-07
19	-2.364e-08	3.842e-08	-6.206e-08	-6.017e-08
20	9.683e-08	1.113e-08	8.569e-08	7.721e-08
21	1.636e-07	2.989e-08	1.337e-07	1.394e-07
22	0.000e+00	2.655e-08	-2.655e-08	-2.360e-08
23	-8.640e-08	-1.194e-07	3.298e-08	2.237e-08
24	-1.133e-07	-1.921e-07	7.876e-08	8.825e-08
25	-2.303e-08	1.046e-08	-3.349e-08	-2.743e-08
26	-2.411e-07	-3.595e-07	1.184e-07	1.116e-07
27	1.130e-07	-1.673e-07	2.802e-07	2.819e-07
28	-4.052e-07	2.077e-07	-6.129e-07	-6.048e-07
29	4.696e-08	2.350e-07	-1.881e-07	-1.855e-07

=== bcsstk36 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-1.122e-05	-4.317e-07	-1.079e-05	-1.079e-05
1	-7.776e-06	1.445e-07	-7.920e-06	-7.921e-06
2	-4.439e-06	-6.259e-09	-4.433e-06	-4.431e-06
3	-2.731e-06	7.102e-07	-3.441e-06	-3.440e-06
4	-3.016e-06	5.581e-09	-3.022e-06	-3.026e-06
5	-1.871e-06	4.442e-08	-1.915e-06	-1.913e-06
6	-2.958e-06	1.726e-06	-4.684e-06	-4.678e-06
7	-2.812e-06	1.095e-07	-2.921e-06	-2.927e-06
8	-2.708e-06	-1.965e-07	-2.511e-06	-2.506e-06
9	-1.382e-06	3.686e-07	-1.750e-06	-1.749e-06
10	-1.650e-06	-2.554e-07	-1.394e-06	-1.394e-06
11	-1.771e-06	4.539e-07	-2.225e-06	-2.220e-06
12	-1.177e-06	-4.339e-07	-7.429e-07	-7.431e-07
13	-1.615e-06	3.552e-07	-1.970e-06	-1.966e-06
14	-7.746e-07	-5.558e-08	-7.191e-07	-7.168e-07
15	-1.035e-06	-9.113e-08	-9.438e-07	-9.396e-07
16	-9.644e-07	4.532e-07	-1.418e-06	-1.416e-06
17	-1.461e-06	-2.385e-08	-1.437e-06	-1.441e-06
18	-1.130e-06	-6.778e-07	-4.517e-07	-4.546e-07
19	-4.246e-07	1.859e-07	-6.105e-07	-6.115e-07
20	-3.771e-07	-4.342e-07	5.713e-08	5.763e-08
21	-8.389e-07	-2.538e-08	-8.135e-07	-8.164e-07
22	-4.278e-07	-7.257e-08	-3.553e-07	-3.521e-07
23	-7.969e-07	-4.864e-08	-7.483e-07	-7.508e-07
24	-5.988e-07	-4.081e-08	-5.580e-07	-5.590e-07
25	-6.719e-07	3.133e-07	-9.853e-07	-9.865e-07
26	-1.126e-06	1.448e-07	-1.271e-06	-1.273e-06
27	-7.589e-07	7.464e-07	-1.505e-06	-1.502e-06
28	-7.256e-07	5.287e-07	-1.254e-06	-1.254e-06
29	-1.322e-06	-2.878e-07	-1.034e-06	-1.043e-06

=== bcsstk37 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-1.326e-05	-8.457e-07	-1.242e-05	-1.242e-05
1	-8.865e-06	-5.515e-07	-8.313e-06	-8.322e-06
2	-6.218e-06	2.230e-07	-6.441e-06	-6.439e-06
3	-7.051e-06	-7.049e-07	-6.346e-06	-6.335e-06
4	-3.140e-06	-7.426e-07	-2.398e-06	-2.391e-06
5	-7.064e-06	-6.976e-07	-6.367e-06	-6.364e-06
6	-5.323e-06	7.140e-08	-5.395e-06	-5.385e-06
7	-3.796e-06	-7.998e-07	-2.996e-06	-2.992e-06
8	-5.010e-06	-1.329e-07	-4.877e-06	-4.881e-06
9	-4.269e-06	-3.390e-07	-3.930e-06	-3.942e-06
10	-1.065e-06	-6.642e-07	-4.012e-07	-3.985e-07
11	-2.544e-06	-8.676e-07	-1.676e-06	-1.675e-06
12	-8.349e-07	4.739e-07	-1.309e-06	-1.309e-06
13	-1.055e-06	3.354e-07	-1.391e-06	-1.391e-06
14	-1.435e-06	1.094e-06	-2.528e-06	-2.530e-06
15	-7.906e-07	5.083e-08	-8.415e-07	-8.414e-07
16	-2.482e-06	1.414e-06	-3.896e-06	-3.894e-06
17	-2.679e-06	-1.910e-06	-7.690e-07	-7.709e-07
18	-3.540e-06	9.382e-08	-3.634e-06	-3.626e-06
19	-2.851e-06	-5.137e-07	-2.338e-06	-2.338e-06
20	-2.359e-06	-2.080e-07	-2.151e-06	-2.154e-06
21	-1.046e-06	-1.298e-06	2.520e-07	2.436e-07
22	-2.271e-06	1.953e-08	-2.291e-06	-2.290e-06
23	-2.398e-06	-5.284e-08	-2.346e-06	-2.344e-06
24	-3.768e-06	2.882e-07	-4.056e-06	-4.054e-06
25	-3.155e-06	-2.844e-07	-2.870e-06	-2.867e-06
26	-1.626e-06	-9.353e-07	-6.912e-07	-6.906e-07
27	-2.411e-06	1.879e-07	-2.599e-06	-2.595e-06
28	-2.147e-06	8.073e-07	-2.954e-06	-2.945e-06
29	-3.424e-06	-3.265e-08	-3.391e-06	-3.385e-06

=== bcsstk38 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-3.199e-06	-7.416e-07	-2.457e-06	-2.459e-06
1	-2.179e-06	-7.123e-07	-1.467e-06	-1.462e-06
2	-2.343e-06	-5.686e-07	-1.775e-06	-1.777e-06
3	-1.830e-06	-2.380e-07	-1.592e-06	-1.594e-06
4	-1.500e-06	-6.485e-07	-8.519e-07	-8.555e-07
5	-1.328e-06	-5.815e-07	-7.469e-07	-7.484e-07
6	-2.075e-06	-4.280e-07	-1.647e-06	-1.653e-06
7	-1.489e-06	-9.374e-07	-5.520e-07	-5.527e-07
8	-1.708e-06	-5.635e-07	-1.144e-06	-1.147e-06
9	-1.772e-06	-5.142e-07	-1.258e-06	-1.255e-06
10	-1.735e-06	-5.309e-07	-1.204e-06	-1.199e-06
11	-1.784e-06	-2.380e-07	-1.546e-06	-1.546e-06
12	-1.420e-06	-2.298e-08	-1.397e-06	-1.394e-06
13	-1.714e-06	-2.086e-07	-1.506e-06	-1.504e-06
14	-1.259e-06	-4.824e-07	-7.764e-07	-7.805e-07
15	-1.160e-06	-8.381e-08	-1.076e-06	-1.079e-06
16	-8.003e-07	-1.142e-07	-6.861e-07	-6.818e-07
17	-1.227e-06	-2.802e-07	-9.469e-07	-9.501e-07
18	-1.601e-06	-3.224e-07	-1.279e-06	-1.281e-06
19	-9.563e-07	-1.952e-07	-7.611e-07	-7.627e-07
20	-2.578e-06	-3.595e-07	-2.219e-06	-2.218e-06
21	-2.063e-06	-7.773e-07	-1.285e-06	-1.289e-06
22	-3.202e-06	-6.849e-08	-3.134e-06	-3.129e-06
23	-2.569e-06	-3.558e-07	-2.213e-06	-2.212e-06
24	-3.301e-06	-8.115e-07	-2.490e-06	-2.500e-06
25	-2.725e-06	1.626e-08	-2.741e-06	-2.746e-06
26	-3.747e-06	-3.881e-07	-3.359e-06	-3.368e-06
27	-3.751e-06	-4.124e-09	-3.747e-06	-3.750e-06
28	-4.102e-06	-8.683e-07	-3.233e-06	-3.233e-06
29	-4.138e-06	5.746e-08	-4.196e-06	-4.197e-06

=== bcsstm02 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== bcsstm05 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== bmwcra_1 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== bodyy4 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-1.480e-06	2.726e-07	-1.752e-06	-1.753e-06
1	4.407e-09	-2.988e-07	3.032e-07	3.015e-07
2	-2.394e-07	2.628e-07	-5.022e-07	-5.011e-07
3	-1.769e-07	1.390e-07	-3.159e-07	-3.169e-07
4	-4.382e-07	3.282e-07	-7.664e-07	-7.676e-07
5	-1.152e-07	-1.632e-07	4.799e-08	4.764e-08
6	-3.579e-07	9.599e-08	-4.539e-07	-4.537e-07
7	-2.370e-07	-2.336e-08	-2.137e-07	-2.154e-07
8	-7.971e-08	9.814e-08	-1.779e-07	-1.793e-07
9	-4.912e-08	1.118e-07	-1.610e-07	-1.620e-07
10	-1.786e-07	-1.412e-07	-3.742e-08	-3.936e-08
11	9.168e-08	8.128e-08	1.040e-08	7.320e-09
12	-1.343e-07	-1.582e-07	2.390e-08	2.555e-08
13	5.735e-08	-4.082e-07	4.655e-07	4.647e-07
14	-2.988e-07	-2.475e-07	-5.134e-08	-5.160e-08
15	-3.087e-07	2.263e-08	-3.314e-07	-3.301e-07
16	1.002e-07	-2.669e-08	1.268e-07	1.286e-07
17	-6.413e-07	1.412e-08	-6.554e-07	-6.535e-07
18	-7.018e-07	-7.203e-08	-6.298e-07	-6.270e-07
19	2.786e-07	-9.645e-08	3.751e-07	3.750e-07
20	1.211e-07	-2.037e-08	1.415e-07	1.406e-07
21	-7.560e-07	1.500e-07	-9.060e-07	-9.054e-07
22	-1.865e-07	-1.241e-07	-6.238e-08	-5.829e-08
23	1.381e-07	-5.228e-08	1.904e-07	1.952e-07
24	-4.191e-07	-2.787e-07	-1.404e-07	-1.395e-07
25	-7.111e-08	-5.599e-08	-1.512e-08	-1.045e-08
26	-3.007e-07	5.031e-09	-3.058e-07	-3.041e-07
27	3.425e-07	2.836e-07	5.899e-08	6.044e-08
28	-9.608e-08	5.825e-07	-6.786e-07	-6.787e-07
29	-7.125e-07	-2.601e-08	-6.865e-07	-6.840e-07

=== mhd4800b ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	6.333e-06	-2.596e-05	3.229e-05	3.345e-05
1	-5.904e-05	8.043e-06	-6.709e-05	-6.811e-05
2	-6.644e-05	-3.221e-04	2.557e-04	2.574e-04
3	-7.566e-05	-6.356e-05	-1.210e-05	-1.375e-05
4	-3.394e-04	-3.207e-04	-1.863e-05	-1.651e-05
5	-2.281e-04	-1.243e-05	-2.157e-04	-2.158e-04
6	-2.512e-04	-1.864e-04	-6.484e-05	-6.486e-05
7	-7.008e-05	-1.719e-04	1.018e-04	1.011e-04
8	-2.453e-04	-1.681e-04	-7.716e-05	-7.752e-05
9	-1.759e-04	-1.877e-04	1.177e-05	1.116e-05
10	-4.789e-04	-1.563e-04	-3.226e-04	-3.221e-04
11	-1.251e-04	-4.849e-05	-7.657e-05	-7.630e-05
12	-8.639e-05	-6.686e-05	-1.952e-05	-1.947e-05
13	-3.643e-05	-2.476e-05	-1.167e-05	-1.181e-05
14	-1.053e-05	-1.494e-05	4.402e-06	4.477e-06
15	-1.524e-05	-2.524e-05	1.000e-05	1.013e-05
16	2.846e-06	-7.374e-07	3.583e-06	3.633e-06
17	-3.100e-05	-1.224e-05	-1.876e-05	-1.872e-05
18	-2.913e-06	1.105e-07	-3.024e-06	-3.005e-06
19	-7.917e-07	-3.540e-06	2.748e-06	2.703e-06
20	0.000e+00	1.230e-06	-1.230e-06	-1.234e-06
21	1.417e-07	1.889e-07	-4.727e-08	-5.817e-08
22	-5.242e-07	-4.505e-07	-7.375e-08	-8.042e-08
23	-2.289e-07	-3.599e-08	-1.929e-07	-1.787e-07
24	-9.472e-08	-8.491e-07	7.544e-07	7.462e-07
25	-1.657e-07	2.343e-08	-1.892e-07	-1.914e-07
26	1.564e-08	-2.703e-07	2.860e-07	2.794e-07
27	-4.905e-08	-1.699e-07	1.209e-07	1.252e-07
28	1.785e-07	1.833e-08	1.602e-07	1.690e-07
29	5.129e-08	-1.823e-08	6.951e-08	6.245e-08

=== nasa4704 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-3.052e-07	3.867e-08	-3.439e-07	-3.400e-07
1	-2.313e-07	3.074e-07	-5.387e-07	-5.401e-07
2	-7.129e-09	-5.542e-08	4.830e-08	5.121e-08
3	-1.070e-07	2.851e-08	-1.355e-07	-1.376e-07
4	0.000e+00	-1.852e-07	1.852e-07	1.823e-07
5	-4.455e-08	-1.179e-08	-3.275e-08	-3.164e-08
6	-2.716e-08	-7.738e-08	5.022e-08	5.071e-08
7	-1.330e-07	3.557e-08	-1.685e-07	-1.702e-07
8	4.809e-09	1.823e-08	-1.342e-08	-1.115e-08
9	2.226e-08	3.753e-08	-1.527e-08	-1.529e-08
10	7.535e-08	-1.578e-07	2.331e-07	2.320e-07
11	2.250e-08	-3.859e-08	6.108e-08	6.113e-08
12	3.743e-08	7.270e-08	-3.527e-08	-3.242e-08
13	-1.083e-07	1.041e-08	-1.187e-07	-1.166e-07
14	1.876e-08	4.902e-08	-3.026e-08	-3.148e-08
15	5.819e-08	2.471e-09	5.571e-08	5.490e-08
16	-5.042e-08	-5.090e-09	-4.533e-08	-4.568e-08
17	7.621e-08	-3.786e-08	1.141e-07	1.164e-07
18	-1.514e-07	4.742e-08	-1.988e-07	-1.991e-07
19	5.188e-08	-3.868e-08	9.056e-08	8.893e-08
20	-1.682e-07	1.656e-08	-1.848e-07	-1.856e-07
21	6.312e-08	-6.452e-08	1.276e-07	1.305e-07
22	1.391e-07	-1.348e-08	1.525e-07	1.556e-07
23	1.937e-08	-1.230e-09	2.060e-08	1.831e-08
24	-1.090e-07	-1.198e-07	1.077e-08	1.348e-08
25	0.000e+00	8.162e-08	-8.162e-08	-8.138e-08
26	3.687e-08	-2.709e-08	6.396e-08	6.459e-08
27	-9.199e-08	2.907e-08	-1.211e-07	-1.212e-07
28	7.158e-08	-2.312e-08	9.470e-08	9.032e-08
29	5.359e-09	3.489e-08	-2.953e-08	-2.750e-08

=== nasasrb ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-5.135e-06	-4.373e-07	-4.698e-06	-4.701e-06
1	-4.506e-06	1.577e-07	-4.664e-06	-4.664e-06
2	-3.645e-06	-6.346e-07	-3.010e-06	-3.009e-06
3	-3.045e-06	2.859e-07	-3.331e-06	-3.327e-06
4	-2.086e-06	-2.957e-08	-2.057e-06	-2.056e-06
5	-1.937e-06	4.128e-07	-2.350e-06	-2.351e-06
6	-1.587e-06	3.657e-07	-1.953e-06	-1.954e-06
7	-4.581e-08	-2.362e-08	-2.219e-08	-2.222e-08
8	-2.871e-07	1.133e-07	-4.004e-07	-4.024e-07
9	-1.305e-07	-6.767e-08	-6.285e-08	-6.177e-08
10	-3.844e-07	1.576e-07	-5.420e-07	-5.403e-07
11	-9.806e-07	-9.450e-08	-8.862e-07	-8.838e-07
12	-4.385e-07	-1.370e-07	-3.015e-07	-2.997e-07
13	-1.002e-07	-3.140e-07	2.138e-07	2.127e-07
14	-1.593e-07	3.904e-08	-1.984e-07	-1.997e-07
15	-8.561e-07	-7.479e-08	-7.813e-07	-7.797e-07
16	-9.765e-07	-1.174e-07	-8.591e-07	-8.570e-07
17	-7.723e-07	3.322e-08	-8.056e-07	-8.081e-07
18	-6.416e-08	-1.619e-07	9.777e-08	9.539e-08
19	-3.160e-07	3.243e-07	-6.402e-07	-6.432e-07
20	-7.697e-07	-4.185e-07	-3.512e-07	-3.513e-07
21	-7.916e-07	2.115e-07	-1.003e-06	-1.001e-06
22	-8.285e-07	-2.571e-07	-5.714e-07	-5.718e-07
23	3.082e-08	2.089e-07	-1.781e-07	-1.797e-07
24	-3.058e-07	7.371e-07	-1.043e-06	-1.039e-06
25	-4.310e-07	1.031e-07	-5.341e-07	-5.336e-07
26	-1.370e-06	5.696e-07	-1.939e-06	-1.937e-06
27	-1.399e-06	2.715e-07	-1.670e-06	-1.670e-06
28	-6.759e-07	-4.602e-07	-2.156e-07	-2.150e-07
29	-7.906e-07	2.015e-07	-9.921e-07	-9.937e-07

=== nos2 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	2.564e-07	-4.611e-06	4.867e-06	4.837e-06
1	2.872e-07	9.299e-08	1.942e-07	1.806e-07
2	-2.374e-08	7.614e-07	-7.851e-07	-7.940e-07
3	-3.798e-07	5.588e-07	-9.386e-07	-9.500e-07
4	-1.355e-07	7.707e-07	-9.061e-07	-9.039e-07
5	-9.237e-07	-5.890e-07	-3.347e-07	-3.257e-07
6	-6.604e-07	1.414e-07	-8.018e-07	-8.097e-07
7	-8.817e-07	-7.838e-07	-9.785e-08	-8.863e-08
8	-7.069e-07	1.704e-07	-8.772e-07	-8.861e-07
9	-3.365e-07	-6.923e-07	3.558e-07	3.378e-07
10	-1.563e-07	-2.415e-07	8.511e-08	8.443e-08
11	-9.928e-07	3.564e-07	-1.349e-06	-1.357e-06
12	-1.349e-06	-2.949e-07	-1.054e-06	-1.050e-06
13	-3.732e-07	-5.140e-07	1.409e-07	1.510e-07
14	-1.322e-06	9.566e-07	-2.279e-06	-2.293e-06
15	-2.780e-07	5.268e-10	-2.785e-07	-2.715e-07
16	-1.372e-06	1.444e-07	-1.516e-06	-1.535e-06
17	-2.311e-07	2.310e-07	-4.621e-07	-4.675e-07
18	-1.761e-06	-9.668e-08	-1.664e-06	-1.672e-06
19	5.910e-07	1.169e-07	4.741e-07	4.851e-07
20	-3.339e-07	-6.582e-07	3.243e-07	3.184e-07
21	3.352e-07	2.912e-07	4.397e-08	5.668e-08
22	2.358e-07	-4.682e-08	2.826e-07	2.775e-07
23	-1.284e-07	-4.128e-07	2.844e-07	2.903e-07
24	2.666e-07	7.987e-07	-5.320e-07	-5.402e-07
25	2.509e-08	-3.983e-08	6.492e-08	7.330e-08
26	-5.760e-08	-3.331e-07	2.755e-07	2.596e-07
27	2.008e-07	1.446e-07	5.622e-08	6.262e-08
28	-1.290e-07	-1.363e-07	7.280e-09	2.207e-08
29	-4.795e-07	6.532e-08	-5.448e-07	-5.339e-07

=== nos3 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== nos4 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== nos5 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== nos6 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== offshore ===
iter	rel_err_rz	rel_err_pAp	predicted	actual

=== s3dkq4m2 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	-4.778e-05	-5.048e-04	4.570e-04	4.570e-04
1	8.286e-05	-2.497e-05	1.078e-04	1.079e-04
2	1.152e-04	-7.143e-05	1.866e-04	1.866e-04
3	3.246e-04	-1.031e-04	4.277e-04	4.277e-04
4	-4.501e-04	-3.392e-04	-1.109e-04	-1.110e-04
5	-7.156e-05	-3.997e-05	-3.159e-05	-3.159e-05
6	-1.195e-04	4.793e-05	-1.675e-04	-1.674e-04
7	5.978e-05	-1.685e-04	2.283e-04	2.283e-04
8	-1.796e-05	-3.181e-06	-1.478e-05	-1.480e-05
9	-1.929e-04	-1.503e-04	-4.252e-05	-4.253e-05
10	-6.604e-05	-4.157e-05	-2.448e-05	-2.450e-05
11	-3.198e-05	6.658e-05	-9.855e-05	-9.852e-05
12	-5.177e-05	2.509e-04	-3.027e-04	-3.026e-04
13	-3.090e-05	4.290e-05	-7.380e-05	-7.371e-05
14	-8.760e-05	1.315e-04	-2.191e-04	-2.190e-04
15	-3.032e-04	7.173e-05	-3.750e-04	-3.749e-04
16	-2.142e-04	-1.603e-05	-1.982e-04	-1.981e-04
17	-1.253e-04	1.009e-04	-2.262e-04	-2.260e-04
18	-5.249e-05	1.755e-04	-2.280e-04	-2.279e-04
19	-7.929e-06	6.542e-05	-7.335e-05	-7.333e-05
20	-8.390e-05	-6.223e-05	-2.166e-05	-2.166e-05
21	-1.454e-04	6.562e-05	-2.110e-04	-2.109e-04
22	-9.280e-05	4.513e-05	-1.379e-04	-1.379e-04
23	-5.293e-05	-9.212e-05	3.919e-05	3.916e-05
24	-1.119e-04	-1.559e-05	-9.632e-05	-9.622e-05
25	-3.188e-05	-9.550e-05	6.362e-05	6.354e-05
26	-1.412e-04	5.154e-05	-1.928e-04	-1.927e-04
27	4.505e-06	-8.522e-05	8.973e-05	8.965e-05
28	-6.619e-05	-3.937e-05	-2.682e-05	-2.693e-05
29	-6.143e-05	-1.953e-05	-4.191e-05	-4.187e-05

=== s3dkt3m2 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	3.219e-04	1.721e-04	1.498e-04	1.497e-04
1	4.939e-05	-4.725e-06	5.412e-05	5.403e-05
2	-3.483e-05	-6.246e-05	2.762e-05	2.759e-05
3	-3.469e-05	2.880e-05	-6.349e-05	-6.347e-05
4	4.577e-05	3.487e-05	1.090e-05	1.089e-05
5	-5.588e-05	2.950e-05	-8.538e-05	-8.539e-05
6	-5.708e-05	-7.989e-05	2.281e-05	2.286e-05
7	-8.161e-06	-8.010e-05	7.194e-05	7.191e-05
8	-8.648e-05	-1.824e-05	-6.824e-05	-6.825e-05
9	-1.203e-04	1.120e-05	-1.315e-04	-1.315e-04
10	-1.231e-04	-9.960e-07	-1.221e-04	-1.221e-04
11	-1.127e-04	-6.851e-05	-4.422e-05	-4.420e-05
12	3.476e-05	-4.998e-05	8.474e-05	8.472e-05
13	-2.283e-05	-1.275e-05	-1.007e-05	-1.005e-05
14	-5.344e-05	-2.314e-05	-3.030e-05	-3.033e-05
15	-1.310e-04	7.716e-05	-2.082e-04	-2.083e-04
16	-4.990e-05	1.853e-05	-6.843e-05	-6.850e-05
17	-3.925e-05	3.277e-05	-7.202e-05	-7.196e-05
18	-1.176e-04	-1.346e-05	-1.041e-04	-1.041e-04
19	2.930e-05	4.322e-05	-1.392e-05	-1.397e-05
20	-1.285e-04	7.867e-05	-2.072e-04	-2.071e-04
21	-9.003e-05	-7.020e-05	-1.983e-05	-1.989e-05
22	-8.073e-05	-6.020e-05	-2.054e-05	-2.060e-05
23	-9.959e-05	8.955e-05	-1.891e-04	-1.891e-04
24	-2.205e-04	-1.354e-04	-8.517e-05	-8.511e-05
25	-1.288e-04	-1.820e-05	-1.106e-04	-1.105e-04
26	-1.519e-04	-6.618e-05	-8.573e-05	-8.572e-05
27	-8.331e-05	-1.174e-05	-7.157e-05	-7.156e-05
28	-1.313e-05	5.855e-05	-7.168e-05	-7.166e-05
29	-9.593e-05	1.753e-05	-1.135e-04	-1.135e-04

=== sts4098 ===
iter	rel_err_rz	rel_err_pAp	predicted	actual
0	1.903e-07	-1.771e-08	2.080e-07	2.044e-07
1	0.000e+00	1.385e-08	-1.385e-08	-1.081e-08
2	-2.399e-08	-3.769e-08	1.370e-08	1.028e-08
3	-5.993e-08	-5.852e-08	-1.408e-09	-5.734e-09
4	9.088e-09	-5.476e-08	6.385e-08	5.957e-08
5	2.831e-08	3.268e-08	-4.373e-09	-9.930e-09
6	-8.484e-09	7.285e-08	-8.133e-08	-8.208e-08
7	0.000e+00	2.104e-08	-2.104e-08	-2.293e-08
8	0.000e+00	-2.607e-08	2.607e-08	2.149e-08
9	6.492e-08	-6.658e-08	1.315e-07	1.320e-07
10	1.671e-08	-1.550e-08	3.221e-08	3.293e-08
11	1.278e-07	-1.002e-08	1.378e-07	1.393e-07
12	1.268e-08	-9.958e-08	1.123e-07	1.133e-07
13	-2.236e-08	8.825e-08	-1.106e-07	-1.098e-07
14	-4.902e-08	-3.284e-08	-1.618e-08	-1.732e-08
15	3.073e-08	-5.368e-08	8.441e-08	8.421e-08
16	1.418e-08	1.412e-07	-1.270e-07	-1.274e-07
17	0.000e+00	-1.389e-07	1.389e-07	1.411e-07
18	-6.171e-08	-3.918e-08	-2.253e-08	-2.025e-08
19	-2.051e-08	2.080e-08	-4.130e-08	-4.396e-08
20	3.263e-08	1.647e-08	1.616e-08	1.685e-08
21	7.492e-09	-2.374e-08	3.123e-08	3.292e-08
22	4.589e-08	-1.313e-07	1.772e-07	1.789e-07
23	-1.504e-08	-7.121e-08	5.618e-08	5.759e-08
24	1.018e-07	1.035e-07	-1.647e-09	-4.673e-10
25	8.186e-08	-1.211e-08	9.396e-08	9.311e-08
26	1.079e-07	-7.937e-08	1.873e-07	1.887e-07
27	4.861e-08	-7.353e-08	1.221e-07	1.194e-07
28	1.971e-08	4.020e-08	-2.049e-08	-2.041e-08
29	1.287e-07	-1.230e-07	2.517e-07	2.512e-07

