matrix,bitwidth,lambda_max,condest_cmsw,nnz_static,saturated_count,total_entries,sat_fraction
bcsstk36,8,1759.6,CHOL_FAIL,1143140,1073540,1143140,0.939115
bcsstk36,16,1.69615e+08,CHOL_FAIL,1143140,11784,1143140,0.0103084
bcsstk36,32,1.77539e+08,CHOL_FAIL,1143140,0,1143140,0
bcsstk36,64,1.77539e+08,4.068413e+09,1143140,0,1143140,0
bcsstk36,8,1759.6,CHOL_FAIL,1143140,1073540,1143140,0.939115
bcsstk36,16,1.69615e+08,CHOL_FAIL,1143140,11784,1143140,0.0103084
bcsstk36,32,1.77539e+08,CHOL_FAIL,1143140,0,1143140,0
bcsstk36,64,1.77539e+08,4.068413e+09,1143140,0,1143140,0
bcsstk03,8,258.674,CHOL_FAIL,640,640,640,1
bcsstk03,16,1.03335e+09,CHOL_FAIL,640,236,640,0.36875
bcsstk03,32,1.99735e+11,7.880155e+08,640,0,640,0
bcsstk03,64,1.99734e+11,7.880355e+08,640,0,640,0
bcsstk14,8,913.262,CHOL_FAIL,63454,61054,63454,0.962177
bcsstk14,16,1.68386e+09,CHOL_FAIL,63454,4066,63454,0.0640779
bcsstk14,32,1.19196e+10,1.215207e+10,63454,0,63454,0
bcsstk14,64,1.19196e+10,1.215207e+10,63454,0,63454,0
bcsstk38,8,1743.98,CHOL_FAIL,355460,324703,355460,0.913473
bcsstk38,16,2.91863e+09,CHOL_FAIL,355460,10673,355460,0.0300259
bcsstk38,32,4.04224e+11,6.391547e+13,355460,0,355460,0
bcsstk38,64,4.04224e+11,6.427296e+13,355460,0,355460,0
bcsstk14,8,913.262,CHOL_FAIL,63454,61054,63454,0.962177
bcsstk14,16,1.68386e+09,CHOL_FAIL,63454,4066,63454,0.0640779
bcsstk14,32,1.19196e+10,1.215207e+10,63454,0,63454,0
bcsstk14,64,1.19196e+10,1.215207e+10,63454,0,63454,0
mhd4800b,8,2.20022,CHOL_FAIL,27520,27175,27520,0.987464
mhd4800b,16,2.19625,CHOL_FAIL,27520,3620,27520,0.131541
mhd4800b,32,2.19627,1.301174e+06,27520,0,27520,0
mhd4800b,64,2.19627,1.301186e+06,27520,0,27520,0
sts4098,8,2067.12,CHOL_FAIL,72356,42642,72356,0.589336
sts4098,16,3.64748e+08,CHOL_FAIL,72356,4642,72356,0.064155
sts4098,32,3.07102e+08,1.942754e+08,72356,14,72356,0.000193488
sts4098,64,3.07103e+08,1.942754e+08,72356,0,72356,0
nasasrb,8,1541.51,CHOL_FAIL,2677324,2546654,2677324,0.951194
nasasrb,16,1.73531e+09,CHOL_FAIL,2677324,93137,2677324,0.0347873
nasasrb,32,2.64802e+09,2.819209e+09,2677324,0,2677324,0
nasasrb,64,2.64802e+09,2.503357e+09,2677324,0,2677324,0
nos2,8,191.998,CHOL_FAIL,4137,4137,4137,1
nos2,16,8.27364e+08,CHOL_FAIL,4137,2227,4137,0.538313
nos2,32,1.572e+11,2.484090e+10,4137,0,4137,0
nos2,64,1.572e+11,2.484090e+10,4137,0,4137,0
nasa4704,8,1047.66,CHOL_FAIL,104756,100624,104756,0.960556
nasa4704,16,1.65731e+08,CHOL_FAIL,104756,10904,104756,0.10409
nasa4704,32,2.0661e+08,9.513034e+07,104756,0,104756,0
nasa4704,64,2.0661e+08,9.558894e+07,104756,0,104756,0
bcsstk37,8,1384.51,CHOL_FAIL,1140977,941877,1140977,0.8255
bcsstk37,16,7.55357e+07,CHOL_FAIL,1140977,30416,1140977,0.0266579
bcsstk37,32,8.41287e+07,CHOL_FAIL,1140977,0,1140977,0
bcsstk37,64,8.41287e+07,CHOL_FAIL,1140977,0,1140977,0
